parcel_id,parcel_label,ArchiEmotional_emotional_expr_gt_control.nii,ArchiEmotional_emotional_face_gt_control.nii,ArchiStandard_audio_gt_baseline.nii,ArchiStandard_checkerboard_gt_baseline.nii,PreferenceFaces_face_gt_baseline.nii,RSVPLanguage_language_gt_baseline.nii,RSVPLanguage_sentence_complex_vs_pseudo.nii,RSVPLanguage_sentence_gt_word.nii
49,7Networks_LH_SomMot_18,0.05206462536762292,-0.06068302147173814,-0.024604530587896228,0.019598474156747044,-0.06776189385296626,-0.12451540185177913,-0.07853226183301681,-0.01104025030217599
50,7Networks_LH_SomMot_19,0.08108154640655678,-0.1893296511641881,-0.014237716452371154,-0.14209013179057886,0.1904521979699689,-0.08819512133257228,-0.1363573918972619,-0.10929186890256737
51,7Networks_LH_SomMot_20,0.021090025115559147,-0.03350061996869983,0.006596092417596317,-0.19056479378430655,0.06300340551928046,-0.04330541086458271,-0.02194026931923168,0.08879639624032162
52,7Networks_LH_SomMot_21,0.0,0.0,0.0034761242753763616,-0.06261751768250223,0.0,0.0,0.0,0.0
53,7Networks_LH_SomMot_22,0.05662196078160488,-0.06705343380456011,-0.0012861156512283846,-0.18325961074972313,0.09853394337926563,-0.14779173297917142,-0.11618940413294676,0.060510323270124136
54,7Networks_LH_SomMot_23,0.04560341903878314,0.05491981078666431,0.03878390164750449,0.05758057038059217,-0.00898297074427073,-0.1412468341965083,-0.21504379642914767,0.1957957250375144
55,7Networks_LH_SomMot_24,0.07266607924494929,0.009079336171167952,-0.03874040009955374,0.01980195667216264,-0.060951273533363166,-0.26315684889814506,-0.1975945996848914,0.19398554279289854
56,7Networks_LH_SomMot_25,0.043488955437068294,-0.04858555392547714,0.025878013070016297,0.0029894104896407547,0.006591212418344285,0.0595789789998283,0.058102108303299045,-0.04940002794885206
57,7Networks_LH_SomMot_26,0.009717006456624001,-0.02196241072974666,-0.01900503849155093,-0.20079125882927987,-0.007693025104831471,-0.002848926869802206,-0.03263686517768588,0.03153146405090883
58,7Networks_LH_SomMot_27,0.0,0.0,-0.02769236733158461,-0.07964794583285932,0.0,0.0,0.0,0.0
59,7Networks_LH_SomMot_28,0.009119931452685574,-0.026413623058264293,-0.003071348493564139,0.005545325590438157,0.0498588517129319,-0.0033842912275267455,-0.02624150289911106,0.023909858328898918
60,7Networks_LH_SomMot_29,0.0,0.0,-0.06290708130853641,-0.09731917932209211,-0.004372923747177608,0.0,0.0,0.0
61,7Networks_LH_SomMot_30,0.05893333137340552,-0.02791947810573364,-0.01438228426307764,-0.030607433550638607,0.016489036638011163,-0.11473166163348175,-0.10808451881601745,0.08454677653357509
62,7Networks_LH_SomMot_31,0.0958276505165219,-0.03157999195358749,0.0025688777726560414,-0.18148130948542962,-0.15515958187593656,0.02936579665442655,-0.0540056261527059,0.08065793264357672
63,7Networks_LH_SomMot_32,0.0,0.0,-0.009748924629167023,-0.024890518751040643,0.0,0.0,0.0,0.0
64,7Networks_LH_SomMot_33,-0.007734324283708332,0.007701200380221505,-0.020599970921765604,-0.0032090807954166557,-0.024496993826385115,-0.07124862705089458,-0.04874103715727124,0.05434433031105482
65,7Networks_LH_SomMot_34,0.04667324096825981,-0.0888474484306839,0.02078862177512945,-0.10510373542920295,0.0011042735087366756,-0.08898336906554875,-0.21208375313771277,0.07740681391840358
66,7Networks_LH_SomMot_35,0.01372438544204918,-0.00882713095499919,0.006106048387621062,-0.0637855016495489,-0.03865437670913463,-0.027249243970100697,-0.030215507684478077,-0.011797210226324573
67,7Networks_LH_SomMot_36,0.0,0.0,-0.013851568947300084,-0.027655508026596488,0.0,0.0,0.0,0.0
68,7Networks_LH_SomMot_37,0.0,0.0,-0.01769318708425595,0.0029857856118016774,0.0,0.0,0.0,0.0
69,7Networks_LH_DorsAttn_Post_1,0.004371552055736429,0.0012621382650131552,-0.014825472003556179,-0.032024142716398564,0.09588107470832069,0.010567637465058644,0.0015239366140827498,0.03384275488701222
70,7Networks_LH_DorsAttn_Post_2,0.0,0.0,-0.011338124925824377,0.00020390149276487907,0.0,-0.0005917979871655805,-0.0006038660744073308,-0.0007258375854982999
71,7Networks_LH_DorsAttn_Post_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,7Networks_LH_DorsAttn_Post_4,0.0,0.0,-0.0011586540464334693,-0.002200767151051504,0.0,0.0,0.0,0.0
73,7Networks_LH_DorsAttn_Post_5,0.0,0.0,-0.015046181355857472,-0.0075264600220798835,0.0,0.0,0.0,0.0
74,7Networks_LH_DorsAttn_Post_6,-0.00093625873248204,0.009043720854688386,0.010591246966774074,-0.0851737387257255,0.004811163281463581,-0.020446901138012227,0.003288362066530739,0.027704764449035142
75,7Networks_LH_DorsAttn_Post_7,0.0,0.0,-0.011326797119128044,-0.018043081181006483,0.0,0.0,0.0,0.0
76,7Networks_LH_DorsAttn_Post_8,-0.08726727545870401,-0.041533889077433765,0.0189388180853534,-0.2483494711057095,0.0321228240583005,-0.05037097177703542,0.026952910856413013,-0.019268519754806777
77,7Networks_LH_DorsAttn_Post_9,0.0013664136790940838,0.014022642778112522,-0.10858596764453743,-0.11979095802882746,-0.010840387732511567,0.0035816238269269947,0.038134808862401594,0.05418579513357291
78,7Networks_LH_DorsAttn_Post_10,0.0,0.0,-0.09180558057240218,-0.06282526216794898,0.0,0.0,0.0,0.0
79,7Networks_LH_DorsAttn_Post_11,-0.009861792422776674,0.012156536695241494,-0.07718604296359756,-0.23213938221228766,-0.02351266800351169,-0.028656886646993132,0.01205051779563464,0.028661048260388258
80,7Networks_LH_DorsAttn_Post_12,0.0,0.0,-0.015400168631156121,-0.03205690575810052,0.0,0.0,0.0,0.0
81,7Networks_LH_DorsAttn_Post_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,7Networks_LH_DorsAttn_Post_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,7Networks_LH_DorsAttn_Post_15,0.0,0.0,-7.440680753887936e-05,-0.0010838244492922334,0.0,0.0,0.0,0.0
84,7Networks_LH_DorsAttn_Post_16,0.0,0.0,-7.128945211521708e-05,-0.00011315055263157074,0.0,0.0,0.0,0.0
85,7Networks_LH_DorsAttn_Post_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,7Networks_LH_DorsAttn_FEF_1,-0.032322570798581286,-0.10736338593457871,0.028485413705412712,-0.013817607529925073,0.13248331977236988,0.025776591738761682,-0.020729905039483434,-0.21704411064779391
87,7Networks_LH_DorsAttn_FEF_2,0.08541337349979139,-0.10470697019317664,-0.02487105258730704,-0.012298654758845768,0.02853963981396676,-0.08052776006181901,-0.04761681030667414,-0.08242944137126973
88,7Networks_LH_DorsAttn_FEF_3,-0.018393158182145763,0.009553982034740244,0.03276700664771678,0.05958164087822335,0.19061579598257175,-0.11006823538068253,-0.10603451161560687,-0.0003680255179106755
89,7Networks_LH_DorsAttn_FEF_4,0.04740834303540519,-0.04333085938088316,-0.022283874802170762,-0.0579062220605891,-0.01968049072593921,0.009886523893755016,-0.009729598606365906,-0.06070769849867722
